id_patrimostat,region_excel,nom_musee_excel,ville_excel,type_frequentation,annee,total_frequentation
0105301,AUVERGNE-RHÔNE-ALPES,Musée du Brou,BOURG-EN-BRESSE,Totale,2001,74056.0
0105302,AUVERGNE-RHÔNE-ALPES,Musée Départemental des Pays De l'Ain,BOURG-EN-BRESSE,Totale,2001,
0106401,AUVERGNE-RHÔNE-ALPES,Musée de la Société d'Histoire et d'Archéologie,BRIORD,Totale,2001,100.0
0113701,AUVERGNE-RHÔNE-ALPES,Musée Départemental du Revermont,TREFFORT-CUISIAT,Totale,2001,22234.0
0119201,AUVERGNE-RHÔNE-ALPES,Musée Archéologique,IZERNORE,Totale,2001,204.0
0121801,AUVERGNE-RHÔNE-ALPES,Musée Départemental du Bugey-Valmorey,LOCHIEU,Totale,2001,
0126901,AUVERGNE-RHÔNE-ALPES,Musée d'Histoire de la Résistance et de la Déportation de L'Ain et du Haut Jura,NANTUA,Totale,2001,7238.0
0128301,AUVERGNE-RHÔNE-ALPES,Musée du Peigne et de la Plasturgie,OYONNAX,Totale,2001,3217.0
0129001,AUVERGNE-RHÔNE-ALPES,Musée du Vieux Pérouges,PEROUGES,Totale,2001,17700.0
0130501,AUVERGNE-RHÔNE-ALPES,Musée Chintreuil,PONT-DE-VAUX,Totale,2001,4221.0
0134301,AUVERGNE-RHÔNE-ALPES,Musée de la Bresse - Domaine les Planons,SAINT-CYR-SUR-MENTHON,Totale,2001,20115.0
0138301,AUVERGNE-RHÔNE-ALPES,Musée Louis Jourdan,SAINT-PAUL-DE-VARAX,Totale,2001,
0140701,AUVERGNE-RHÔNE-ALPES,Musée du Bois,SEYSSEL,Totale,2001,
0144301,AUVERGNE-RHÔNE-ALPES,Musée de la Dombes,VILLARS DE LA DOMBES,Totale,2001,
0304801,AUVERGNE-RHÔNE-ALPES,Musée Charles-Louis Philippe,CERILLY,Totale,2001,107.0
0307401,AUVERGNE-RHÔNE-ALPES,Musée Rural de la Sologne Bourbonnaise,BEAULON,Totale,2001,100.0
0311801,AUVERGNE-RHÔNE-ALPES,Musée Municipal de Gannat,GANNAT,Totale,2001,1055.0
0318501,AUVERGNE-RHÔNE-ALPES,Musée des Musiques Populaires - MuPop,MONTLUCON,Totale,2001,2713.0
0319001,AUVERGNE-RHÔNE-ALPES,Musée Anne de Beaujeu,MOULINS,Totale,2001,
